star_id,planet_name,paradox_score,period,depth_ppm,coherence_f1,anomaly_f2
7281454,K03055.01,0.7318,0.567,1.7,0.4,0.8
3330684,K04533.01,0.7316,1.261,109.7,0.4,0.8
10340212,K08003.01,0.7315,0.934,226.2,0.4,0.8
5513833,K06591.01,0.7314,0.755,76.7,0.4,0.8
8227661,K02826.01,0.7314,1.854,348.6,0.4,0.8
7032968,K06812.01,0.7312,0.567,7.5,0.4,0.8
9643210,K07952.01,0.7312,3.85,158.0,0.4,0.8
5094301,K06517.01,0.7311,0.995,13.7,0.4,0.8
9899181,K02867.02,0.731,18.936,24.3,0.4,0.8
5696918,K04594.01,0.731,0.643,68.1,0.4,0.8
7031132,K06804.01,0.731,0.567,14.8,0.4,0.8
6774408,K06766.01,0.731,0.855,13.7,0.4,0.8
10341777,K07610.01,0.7309,0.934,18.6,0.4,0.8
10407464,K07323.01,0.7309,0.934,12.9,0.4,0.8
10535858,K07338.01,0.7309,0.934,62.2,0.4,0.8
4851239,K04851.01,0.7309,1.235,15.2,0.4,0.8
10614845,K08027.01,0.7308,0.574,48.3,0.4,0.8
10535886,K08021.01,0.7308,0.934,56.5,0.4,0.8
9899181,K02867.01,0.7308,1.333,31.7,0.4,0.8
7362534,K06864.01,0.7308,0.567,25.4,0.4,0.8
10002261,K00959.01,0.7308,12.714,36718.7,0.412,0.8
8162376,K06982.01,0.7308,0.706,50.8,0.4,0.8
10535897,K08022.01,0.7308,0.934,17.0,0.4,0.8
8245108,K07876.01,0.7308,0.579,68.4,0.4,0.8
7282168,K07831.01,0.7307,0.567,35.9,0.4,0.8
